location_id,location_name,location_district,facility_code,facility_name
436,Mlolo Dispensary,Nsanje,NS300970,Mlolo Dispensary
999,Mmambo Health Centre (Zomba),Zomba,ZA230747,Mmambo Health Centre (Zomba)
1044,Mnyanja Health Centre,Kasungu,KU070976,Mnyanja Health Centre
1080,Monkey Bay Pakachere DIC,Mangochi,MG201729,Monkey Bay Pakachere DIC
439,Monkey-Bay Health Centre,Mangochi,MG200982,Monkey-Bay Health Centre
830,Moyale Barracks Health Centre,Mzimba North,MZ160986,Moyale Barracks Health Centre
698,Moyo Clinic (Lilongwe),Lilongwe,,Moyo Clinic (Lilongwe)
963,Moyo Private Clinic (Blantyre),Blantyre,BT240987,Moyo Private Clinic (Blantyre)
441,Mpamantha Health Centre,Nkhota-kota,NK100991,Mpamantha Health Centre
1043,Mpepa Health Centre (Kasungu),Kasungu,KU070272,Mpepa Health Centre (Kasungu)
879,Mphati Health Centre,Dedza,DE031001,Mphati Health Centre
448,Mpherembe Health Centre,Mzimba North,MZ161004,Mpherembe Health Centre
449,Mpherere Health Centre,Ntchisi,NT081005,Mpherere Health Centre
450,Mphopha Health Centre,,RU141007,Mphopha Health Centre
1005,Mpondasi Health Centre (Mangochi),Mangochi,MG201012,Mpondasi Health Centre (Mangochi)
458,Msese Health Centre,Mzimba South,MZ161019,Msese Health Centre
788,Mtema 1,Lilongwe,,Mtema 1
460,Mtende Health Centre,Mzimba South,MZ161029,Mtende Health Centre
462,Mtengowanthenga Hospital,Dowa,DA021570,Mtengowanthenga Hospital
468,Mtwalo Health Centre,Mzimba North,MZ161040,Mtwalo Health Centre
469,Mua Mission Hospital,Dedza,DE031041,Mua Mission Hospital
470,Mulanje District Health Office,Mulanje,MU211045,Mulanje District Health Office
472,Mulanje Health Area,Mulanje,,Mulanje Health Area
473,Mulanje Health District,Mulanje,,Mulanje Health District
