OrgUnit ID,OrgUnit Name
jkGTBAmFE1b,Mangunda Health Centre
FPDJqyOOb4I,Manjawira Health Centre
YpAyWUsXP6l,Manolo Health Center
nDmSqHjGoHc,Manyamula Health Centre
YK6aK071R8v,Maonde Health Centre
XrE6S137IUq,Mapanga Health Center
NlBOlQkhfk5,Maperera Health Centre
ACgUJlruIQT,Mapeto DWS Clinic
Ljx0uViQtRg,Maravi Health Centre
z5QhXToeTgs,Mars Clinic 
oAX2IuKUC7A,Masasa Health Centre
c8uCPvKeeEM,Mase Health Centre
hj7sZWYuxTM,Masenjere Health Centre
tqyiGsEE1FJ,Masm Area 43
LLrZXqItgML,Masm Medi Clinic
CwXx44tbXVF,Masm Medi Clinic Katoto 
g9sKqV981QU,Masm Medi Clinic Lilongwe 
GQGxBnLrP91,Masm Medi ClinicLimbe 
iVOnl6X10Ym,Matanda Health Centre
JKAFWLrwdji,Matandani Health Centre
nyBn1aFSTnl,Matapila Health Centre
yREVcFcXe3h,Matawale Urban Health Centre
jeNQSrVSj0c,Matekenya Health Centre
bfDs0dTM81U,Matiki Health Centre
omQ3TWOHcDR,Matiya Health Centre
GjNQ12Y2l0F,Matope Health Centre
WIiA3ENQI5A,Matuli Health Centre
I5QjWlvvwsI,Matumba Health Centre
W423FAKdyEK,Maula Health Centre
sPwxCzvUtia,Maula Prison Health Centre Static Art
F6BWHBSv59O,Mauwa Health Centre
BU12lO6ynbT,Mauwa Maternity
JQgSk2DFvqZ,Mayaka Health Centre
U3ExHCyHDEZ,Mayani Health Centre
DbMbDgGQzLw,Mazabuka Medical Centre 
zR84MQKJlj4,Maziko Private Clinic 
xNJfdetFsOO,Mazunga Private Clinic
rwyqKbu6sVj,Mbabvi Health Centre
aLanDLYSxOP,Mbalachanda Health Centre
gRtggG07luV,Mbalanguzi Dispensary
AsETHxlmpIL,Mbang'ombe 1 Health Centre
rX8JkNx4U0A,Mbang'ombe 2 Health Centre
ELXUlTxf8K3,Mbanila Health Centre
ojywW0LnOe6,Mbayani Health Center
GMxiZxppgwD,Mbenje Health Centre
vHwtNk0Bvmi,Mbera Health Centre
rpW9v5wCsE6,Mbingwa Health Centre
dmGyp0vetoz,Mbiza Health Centre
iTzui2UcI8o,Mbonechera Health Centre
SrQ8y7MhCE6,Mbulumbudzi Health Centre
ERVjuHPNT3l,Mbulumbudzi Maternity
KRmwm560Ldo,Mbwatalika Health Centre
cPOF4KdmFAR,Mc Quire Wellness Health Centre
dttzdNvXHa5,Mchacha Dispensary
HC3bsEmqOGP,Mchima Clinic
dFFBYFnomxH,Mchinji District Hospital
c6WcEY1TXnq,Mchoka Health Centre
fQCAaNl0UMA,Mdeka Health Centre
jJwUNjSxgTS,Mdeza Dispensary
ECwzZkt3Rop,MDF Secondary School Clinic
H3xKaK0d3or,Mdunga Heallth Centre
qXsVFrRN4BB,Merit Private Clinic
